player_id,team_id,number,position,height,weight,name,image_url,yoe
113,NYK,5,F,203,243,Precious Achiuwa,https://cdn.nba.com/headshots/nba/latest/260x190/1630173.png,
110,MIA,13,C-F,205,255,Bam Adebayo,https://cdn.nba.com/headshots/nba/latest/260x190/1628389.png,
200,TOR,30,G,195,215,Ochai Agbaji,https://cdn.nba.com/headshots/nba/latest/260x190/1630534.png,
274,MEM,7,F-C,213,215,Santi Aldama,https://cdn.nba.com/headshots/nba/latest/260x190/1630583.png,
12,MIN,9,G,195,205,Nickeil Alexander-Walker,https://cdn.nba.com/headshots/nba/latest/260x190/1629638.png,
68,PHX,8,G,193,198,Grayson Allen,https://cdn.nba.com/headshots/nba/latest/260x190/1628960.png,
60,CLE,31,C,205,243,Jarrett Allen,https://cdn.nba.com/headshots/nba/latest/260x190/1628386.png,
132,NOP,15,G,182,179,Jose Alvarado,https://cdn.nba.com/headshots/nba/latest/260x190/1630631.png,
15,MIN,1,F-G,205,230,Kyle Anderson,https://cdn.nba.com/headshots/nba/latest/260x190/203937.png,
67,MIL,34,F,210,243,Giannis Antetokounmpo,https://cdn.nba.com/headshots/nba/latest/260x190/203507.png,
294,MIL,43,F,200,219,Thanasis Antetokounmpo,https://cdn.nba.com/headshots/nba/latest/260x190/203648.png,
46,ORL,50,G,187,185,Cole Anthony,https://cdn.nba.com/headshots/nba/latest/260x190/1630175.png,
199,NYK,8,F-G,200,240,OG Anunoby,https://cdn.nba.com/headshots/nba/latest/260x190/1628384.png,
364,WAS,8,F,205,210,Deni Avdija,https://cdn.nba.com/headshots/nba/latest/260x190/1630166.png,
363,POR,2,C,213,247,Deandre Ayton,https://cdn.nba.com/headshots/nba/latest/260x190/1629028.png,
391,PHX,27,C-F,210,270,Udoka Azubuike,https://cdn.nba.com/headshots/nba/latest/260x190/1628962.png,
469,POR,41,C,213,240,Ibou Badji,https://cdn.nba.com/headshots/nba/latest/260x190/1630641.png,
453,WAS,35,F,208,235,Marvin Bagley III,https://cdn.nba.com/headshots/nba/latest/260x190/1628963.png,
539,CHA,10,G,190,185,Amari Bailey,https://cdn.nba.com/headshots/nba/latest/260x190/1641735.png,
465,WAS,7,F,205,220,Patrick Baldwin Jr.,https://cdn.nba.com/headshots/nba/latest/260x190/1631116.png,
450,CHA,1,G,200,180,LaMelo Ball,https://cdn.nba.com/headshots/nba/latest/260x190/1630163.png,
208,PHI,5,C,213,231,Mo Bamba,https://cdn.nba.com/headshots/nba/latest/260x190/1628964.png,
65,ORL,5,F,208,250,Paolo Banchero,https://cdn.nba.com/headshots/nba/latest/260x190/1631094.png,
365,MEM,22,G,195,215,Desmond Bane,https://cdn.nba.com/headshots/nba/latest/260x190/1630217.png,
260,POR,5,F,203,204,Dalano Banton,https://cdn.nba.com/headshots/nba/latest/260x190/1630625.png,
442,SAS,26,F,205,215,Dominick Barlow,https://cdn.nba.com/headshots/nba/latest/260x190/1631230.png,
57,SAC,40,F,203,225,Harrison Barnes,https://cdn.nba.com/headshots/nba/latest/260x190/203084.png,
284,TOR,4,F-G,200,237,Scottie Barnes,https://cdn.nba.com/headshots/nba/latest/260x190/1630567.png,
245,TOR,9,F-G,198,214,RJ Barrett,https://cdn.nba.com/headshots/nba/latest/260x190/1629628.png,
493,SAS,28,C-F,208,230,Charles Bassey,https://cdn.nba.com/headshots/nba/latest/260x190/1629646.png,
427,CLE,21,F,203,170,Emoni Bates,https://cdn.nba.com/headshots/nba/latest/260x190/1641734.png,
218,BKN,13,F,203,229,Keita Bates-Diop,https://cdn.nba.com/headshots/nba/latest/260x190/1628966.png,
152,PHI,40,G-F,203,230,Nicolas Batum,https://cdn.nba.com/headshots/nba/latest/260x190/201587.png,
515,UTA,26,F,205,216,Darius Bazley,https://cdn.nba.com/headshots/nba/latest/260x190/1629647.png,
175,PHX,3,G,193,207,Bradley Beal,https://cdn.nba.com/headshots/nba/latest/260x190/203078.png,
62,MIL,5,G,193,187,Malik Beasley,https://cdn.nba.com/headshots/nba/latest/260x190/1627736.png,
207,MIL,3,F,200,199,MarJon Beauchamp,https://cdn.nba.com/headshots/nba/latest/260x190/1630699.png,
527,WAS,14,G,198,210,Jules Bernard,https://cdn.nba.com/headshots/nba/latest/260x190/1631262.png,
301,CHA,9,F,208,225,Davis Bertans,https://cdn.nba.com/headshots/nba/latest/260x190/202722.png,
85,MIL,21,G,187,180,Patrick Beverley,https://cdn.nba.com/headshots/nba/latest/260x190/201976.png,
229,ATL,41,G-F,200,215,Saddiq Bey,https://cdn.nba.com/headshots/nba/latest/260x190/1630180.png,
168,ORL,35,C-F,208,250,Goga Bitadze,https://cdn.nba.com/headshots/nba/latest/260x190/1629048.png,
400,CHI,17,F,198,215,Onuralp Bitim,https://cdn.nba.com/headshots/nba/latest/260x190/1641931.png,
297,OKC,15,C,203,255,Bismack Biyombo,https://cdn.nba.com/headshots/nba/latest/260x190/202687.png,
118,ORL,0,G,200,200,Anthony Black,https://cdn.nba.com/headshots/nba/latest/260x190/1641710.png,
529,CHA,12,F,198,209,Leaky Black,https://cdn.nba.com/headshots/nba/latest/260x190/1641778.png,
560,DET,27,F,195,205,Buddy Boeheim,https://cdn.nba.com/headshots/nba/latest/260x190/1631205.png,
156,ATL,13,G,195,225,Bogdan Bogdanovic,https://cdn.nba.com/headshots/nba/latest/260x190/203992.png,
298,NYK,44,F,200,226,Bojan Bogdanovic,https://cdn.nba.com/headshots/nba/latest/260x190/202711.png,
221,PHX,11,C-F,220,220,Bol Bol,https://cdn.nba.com/headshots/nba/latest/260x190/1629626.png,
474,CHA,12,C,208,249,Marques Bolden,https://cdn.nba.com/headshots/nba/latest/260x190/1629716.png,
79,PHX,1,G,198,206,Devin Booker,https://cdn.nba.com/headshots/nba/latest/260x190/1626164.png,
331,LAC,4,G,198,188,Brandon Boston Jr.,https://cdn.nba.com/headshots/nba/latest/260x190/1630527.png,
343,TOR,25,F,205,200,Chris Boucher,https://cdn.nba.com/headshots/nba/latest/260x190/1628449.png,
522,SAS,21,G,187,180,Jamaree Bouyea,https://cdn.nba.com/headshots/nba/latest/260x190/1631123.png,
323,SAS,22,F,193,180,Malaki Branham,https://cdn.nba.com/headshots/nba/latest/260x190/1631103.png,
6,DEN,0,G,198,220,Christian Braun,https://cdn.nba.com/headshots/nba/latest/260x190/1631128.png,
189,BKN,1,G-F,198,209,Mikal Bridges,https://cdn.nba.com/headshots/nba/latest/260x190/1628969.png,
341,CHA,0,F,200,225,Miles Bridges,https://cdn.nba.com/headshots/nba/latest/260x190/1628970.png,
64,BOS,12,F-G,200,210,Oshae Brissett,https://cdn.nba.com/headshots/nba/latest/260x190/1629052.png,
355,POR,11,G,193,229,Malcolm Brogdon,https://cdn.nba.com/headshots/nba/latest/260x190/1627763.png,
149,HOU,9,G-F,198,225,Dillon Brooks,https://cdn.nba.com/headshots/nba/latest/260x190/1628415.png,
241,TOR,11,G-F,193,202,Bruce Brown,https://cdn.nba.com/headshots/nba/latest/260x190/1628971.png,
25,BOS,7,G-F,198,223,Jaylen Brown,https://cdn.nba.com/headshots/nba/latest/260x190/1627759.png,
407,IND,10,G,200,205,Kendall Brown,https://cdn.nba.com/headshots/nba/latest/260x190/1631112.png,
238,LAC,21,F,200,250,Kobe Brown,https://cdn.nba.com/headshots/nba/latest/260x190/1641738.png,
486,POR,10,C,218,258,Moses Brown,https://cdn.nba.com/headshots/nba/latest/260x190/1629650.png,
498,DAL,36,F,200,206,Greg Brown III,https://cdn.nba.com/headshots/nba/latest/260x190/1630535.png,
513,NYK,4,G,198,199,Charlie Brown Jr.,https://cdn.nba.com/headshots/nba/latest/260x190/1629718.png,
210,DET,7,G-F,200,215,Troy Brown Jr.,https://cdn.nba.com/headshots/nba/latest/260x190/1628972.png,
31,NYK,11,G,187,190,Jalen Brunson,https://cdn.nba.com/headshots/nba/latest/260x190/1628973.png,
286,MIA,31,C-F,208,248,Thomas Bryant,https://cdn.nba.com/headshots/nba/latest/260x190/1628418.png,
434,ATL,4,G,195,195,Kobe Bufkin,https://cdn.nba.com/headshots/nba/latest/260x190/1641723.png,
269,HOU,25,G-F,198,205,Reggie Bullock Jr.,https://cdn.nba.com/headshots/nba/latest/260x190/203493.png,
316,NYK,18,G,195,214,Alec Burks,https://cdn.nba.com/headshots/nba/latest/260x190/202692.png,
461,WAS,4,G,190,193,Jared Butler,https://cdn.nba.com/headshots/nba/latest/260x190/1630215.png,
179,MIA,22,F,200,230,Jimmy Butler,https://cdn.nba.com/headshots/nba/latest/260x190/202710.png,
370,MIA,8,F,198,191,Jamal Cain,https://cdn.nba.com/headshots/nba/latest/260x190/1631288.png,
20,DEN,5,G,195,204,Kentavious Caldwell-Pope,https://cdn.nba.com/headshots/nba/latest/260x190/203484.png,
313,POR,33,F,200,226,Toumani Camara,https://cdn.nba.com/headshots/nba/latest/260x190/1641739.png,
177,ATL,15,C,208,256,Clint Capela,https://cdn.nba.com/headshots/nba/latest/260x190/203991.png,
161,CHI,5,G,185,200,Jevon Carter,https://cdn.nba.com/headshots/nba/latest/260x190/1628975.png,
211,ORL,34,C-F,208,270,Wendell Carter Jr.,https://cdn.nba.com/headshots/nba/latest/260x190/1628976.png,
514,TOR,3,G,190,200,D.J. Carton,https://cdn.nba.com/headshots/nba/latest/260x190/fallback.png,
165,CHI,6,G,195,186,Alex Caruso,https://cdn.nba.com/headshots/nba/latest/260x190/1627936.png,
415,LAL,14,C,208,250,Colin Castleton,https://cdn.nba.com/headshots/nba/latest/260x190/1630658.png,
310,SAS,30,F,200,217,Julian Champagnie,https://cdn.nba.com/headshots/nba/latest/260x190/1630577.png,
501,WAS,99,G-F,198,206,Justin Champagnie,https://cdn.nba.com/headshots/nba/latest/260x190/1630551.png,
134,LAL,10,G,195,190,Max Christie,https://cdn.nba.com/headshots/nba/latest/260x190/1631108.png,
476,SAS,25,G,198,200,Sidy Cissoko,https://cdn.nba.com/headshots/nba/latest/260x190/1631321.png,
512,MEM,15,F,203,215,Brandon Clarke,https://cdn.nba.com/headshots/nba/latest/260x190/1629634.png,
280,UTA,0,G,190,194,Jordan Clarkson,https://cdn.nba.com/headshots/nba/latest/260x190/203903.png,
240,BKN,33,C,210,215,Nic Claxton,https://cdn.nba.com/headshots/nba/latest/260x190/1629651.png,
409,BKN,21,F,205,210,Noah Clowney,https://cdn.nba.com/headshots/nba/latest/260x190/1641730.png,
52,LAC,7,G-F,200,210,Amir Coffey,https://cdn.nba.com/headshots/nba/latest/260x190/1629599.png,
236,UTA,20,F-C,205,226,John Collins,https://cdn.nba.com/headshots/nba/latest/260x190/1628381.png,
315,SAS,23,F-C,210,250,Zach Collins,https://cdn.nba.com/headshots/nba/latest/260x190/1628380.png,
23,MIN,10,G,182,175,Mike Conley,https://cdn.nba.com/headshots/nba/latest/260x190/201144.png,
70,MIL,24,G,195,209,Pat Connaughton,https://cdn.nba.com/headshots/nba/latest/260x190/1626192.png,
393,WAS,0,G,203,195,Bilal Coulibaly,https://cdn.nba.com/headshots/nba/latest/260x190/1641731.png,
358,PHI,16,G,198,207,Ricky Council IV,https://cdn.nba.com/headshots/nba/latest/260x190/1641741.png,
305,PHI,33,F,200,209,Robert Covington,https://cdn.nba.com/headshots/nba/latest/260x190/203496.png,
287,CHI,13,F,195,221,Torrey Craig,https://cdn.nba.com/headshots/nba/latest/260x190/1628470.png,
251,MIL,99,F,198,235,Jae Crowder,https://cdn.nba.com/headshots/nba/latest/260x190/203109.png,
414,DET,2,G,198,220,Cade Cunningham,https://cdn.nba.com/headshots/nba/latest/260x190/1630595.png,
255,CHA,30,G,185,185,Seth Curry,https://cdn.nba.com/headshots/nba/latest/260x190/203552.png,
86,GSW,30,G,187,185,Stephen Curry,https://cdn.nba.com/headshots/nba/latest/260x190/201939.png,
167,NOP,11,G,200,199,Dyson Daniels,https://cdn.nba.com/headshots/nba/latest/260x190/1630700.png,
66,LAL,3,F-C,208,253,Anthony Davis,https://cdn.nba.com/headshots/nba/latest/260x190/203076.png,
433,WAS,1,G,193,195,Johnny Davis,https://cdn.nba.com/headshots/nba/latest/260x190/1631098.png,
429,BOS,20,G,185,195,JD Davison,https://cdn.nba.com/headshots/nba/latest/260x190/1631120.png,
142,CHI,11,G-F,198,220,DeMar DeRozan,https://cdn.nba.com/headshots/nba/latest/260x190/201942.png,
28,NYK,0,G,193,203,Donte DiVincenzo,https://cdn.nba.com/headshots/nba/latest/260x190/1628978.png,
454,LAC,25,F,205,210,Moussa Diabate,https://cdn.nba.com/headshots/nba/latest/260x190/1631217.png,
473,NYK,21,F,205,228,Mamadi Diakite,https://cdn.nba.com/headshots/nba/latest/260x190/1629603.png,
318,TOR,1,G-F,198,200,Gradey Dick,https://cdn.nba.com/headshots/nba/latest/260x190/1641711.png,
293,OKC,13,F,205,185,Ousmane Dieng,https://cdn.nba.com/headshots/nba/latest/260x190/1631172.png,
138,LAL,26,G,195,215,Spencer Dinwiddie,https://cdn.nba.com/headshots/nba/latest/260x190/203915.png,
61,DAL,77,F-G,200,230,Luka Doncic,https://cdn.nba.com/headshots/nba/latest/260x190/1629029.png,
21,OKC,5,G,193,220,Luguentz Dort,https://cdn.nba.com/headshots/nba/latest/260x190/1629652.png,
140,CHI,12,G,195,200,Ayo Dosunmu,https://cdn.nba.com/headshots/nba/latest/260x190/1630245.png,
445,PHI,11,G,190,177,Jeff Dowtin Jr.,https://cdn.nba.com/headshots/nba/latest/260x190/1630288.png,
518,CHI,77,F,205,220,Henri Drell,https://cdn.nba.com/headshots/nba/latest/260x190/1630929.png,
139,CHI,3,C,210,279,Andre Drummond,https://cdn.nba.com/headshots/nba/latest/260x190/203083.png,
157,SAC,3,G,195,190,Chris Duarte,https://cdn.nba.com/headshots/nba/latest/260x190/1630537.png,
494,SAS,28,G,193,204,David Duke Jr.,https://cdn.nba.com/headshots/nba/latest/260x190/1630561.png,
252,UTA,11,G,190,205,Kris Dunn,https://cdn.nba.com/headshots/nba/latest/260x190/1627739.png,
77,PHX,35,F,210,240,Kevin Durant,https://cdn.nba.com/headshots/nba/latest/260x190/201142.png,
378,DET,0,C,208,250,Jalen Duren,https://cdn.nba.com/headshots/nba/latest/260x190/1631105.png,
388,HOU,17,F,203,215,Tari Eason,https://cdn.nba.com/headshots/nba/latest/260x190/1631106.png,
18,MIN,5,G,193,225,Anthony Edwards,https://cdn.nba.com/headshots/nba/latest/260x190/1630162.png,
187,SAC,17,F,200,203,Kessler Edwards,https://cdn.nba.com/headshots/nba/latest/260x190/1630556.png,
181,SAC,23,G,190,175,Keon Ellis,https://cdn.nba.com/headshots/nba/latest/260x190/1631165.png,
195,PHI,21,C-F,213,280,Joel Embiid,https://cdn.nba.com/headshots/nba/latest/260x190/203954.png,
90,PHX,14,F-C,208,245,Drew Eubanks,https://cdn.nba.com/headshots/nba/latest/260x190/1629234.png,
556,DET,18,F,200,217,Tosan Evbuomwan,https://cdn.nba.com/headshots/nba/latest/260x190/1641787.png,
147,DAL,0,G,195,214,Dante Exum,https://cdn.nba.com/headshots/nba/latest/260x190/203957.png,
300,ATL,24,F-C,205,240,Bruno Fernando,https://cdn.nba.com/headshots/nba/latest/260x190/1628981.png,
223,BKN,28,F,200,220,Dorian Finney-Smith,https://cdn.nba.com/headshots/nba/latest/260x190/1627827.png,
511,OKC,14,G,190,180,Adam Flagler,https://cdn.nba.com/headshots/nba/latest/260x190/1641745.png,
227,DET,18,G,185,185,Malachi Flynn,https://cdn.nba.com/headshots/nba/latest/260x190/1630201.png,
220,DET,19,F,200,209,Simone Fontecchio,https://cdn.nba.com/headshots/nba/latest/260x190/1631323.png,
525,SAC,31,G,185,175,Jordan Ford,https://cdn.nba.com/headshots/nba/latest/260x190/1630259.png,
327,ATL,2,G,193,210,Trent Forrest,https://cdn.nba.com/headshots/nba/latest/260x190/1630235.png,
428,DET,31,G-F,198,205,Evan Fournier,https://cdn.nba.com/headshots/nba/latest/260x190/203095.png,
89,SAC,5,G,190,185,De'Aaron Fox,https://cdn.nba.com/headshots/nba/latest/260x190/1628368.png,
499,TOR,0,G,190,190,Javon Freeman-Liberty,https://cdn.nba.com/headshots/nba/latest/260x190/1631241.png,
538,DAL,17,F,203,200,Alex Fudge,https://cdn.nba.com/headshots/nba/latest/260x190/1641788.png,
254,ORL,20,G,193,209,Markelle Fultz,https://cdn.nba.com/headshots/nba/latest/260x190/1628365.png,
203,DAL,21,F-C,208,234,Daniel Gafford,https://cdn.nba.com/headshots/nba/latest/260x190/1629655.png,
351,MIL,12,F,208,236,Danilo Gallinari,https://cdn.nba.com/headshots/nba/latest/260x190/201568.png,
194,CLE,10,G,185,192,Darius Garland,https://cdn.nba.com/headshots/nba/latest/260x190/1629636.png,
481,GSW,12,F,203,229,Usman Garuba,https://cdn.nba.com/headshots/nba/latest/260x190/1630586.png,
339,MIN,55,C,208,243,Luka Garza,https://cdn.nba.com/headshots/nba/latest/260x190/1630568.png,
237,UTA,3,G,193,185,Keyonte George,https://cdn.nba.com/headshots/nba/latest/260x190/1641718.png,
44,LAC,13,F,203,220,Paul George,https://cdn.nba.com/headshots/nba/latest/260x190/202331.png,
438,DET,67,F,205,232,Taj Gibson,https://cdn.nba.com/headshots/nba/latest/260x190/201959.png,
10,OKC,3,G,203,216,Josh Giddey,https://cdn.nba.com/headshots/nba/latest/260x190/1630581.png,
397,LAL,20,F-C,208,240,Harry Giles III,https://cdn.nba.com/headshots/nba/latest/260x190/1628385.png,
17,OKC,2,G,198,195,Shai Gilgeous-Alexander,https://cdn.nba.com/headshots/nba/latest/260x190/1628983.png,
412,WAS,16,F,203,230,Anthony Gill,https://cdn.nba.com/headshots/nba/latest/260x190/1630264.png,
349,DEN,21,G,185,195,Collin Gillespie,https://cdn.nba.com/headshots/nba/latest/260x190/1631221.png,
384,BKN,14,G,172,160,Jacob Gilyard,https://cdn.nba.com/headshots/nba/latest/260x190/1631367.png,
24,MIN,27,C,215,258,Rudy Gobert,https://cdn.nba.com/headshots/nba/latest/260x190/203497.png,
206,MEM,0,G,193,200,Jordan Goodwin,https://cdn.nba.com/headshots/nba/latest/260x190/1630692.png,
29,DEN,50,F,203,235,Aaron Gordon,https://cdn.nba.com/headshots/nba/latest/260x190/203932.png,
101,PHX,23,G,190,215,Eric Gordon,https://cdn.nba.com/headshots/nba/latest/260x190/201569.png,
426,SAS,4,G,185,195,Devonte' Graham,https://cdn.nba.com/headshots/nba/latest/260x190/1628984.png,
336,POR,9,F,200,210,Jerami Grant,https://cdn.nba.com/headshots/nba/latest/260x190/203924.png,
535,SAS,0,F,200,269,RaiQuan Gray,https://cdn.nba.com/headshots/nba/latest/260x190/1630564.png,
155,MIL,20,G,193,190,AJ Green,https://cdn.nba.com/headshots/nba/latest/260x190/1631260.png,
178,GSW,23,F,198,230,Draymond Green,https://cdn.nba.com/headshots/nba/latest/260x190/203110.png,
